Tanggal,Total_Pemakaian
2024-10-01,97054.0
2024-10-02,97440.0
2024-10-03,93507.0
2024-10-04,103430.0
2024-10-05,104985.0
2024-10-06,94152.0
2024-10-07,62117.0
2024-10-08,99763.0
2024-10-09,103466.0
2024-10-10,87211.0
2024-10-11,106392.0
2024-10-12,117011.0
2024-10-13,114982.0
2024-10-14,109807.0
2024-10-15,111059.0
2024-10-16,113218.0
2024-10-17,85820.0
2024-10-18,101393.0
2024-10-19,117780.0
2024-10-20,99747.0
2024-10-21,69216.0
2024-10-22,114947.0
2024-10-23,110648.0
2024-10-24,98241.0
2024-10-25,98231.0
2024-10-26,94782.0
2024-10-27,96400.0
2024-10-28,107790.0
2024-10-29,109030.0
2024-10-30,107858.0
2024-10-31,101583.0
2024-11-01,112079.0
2024-11-02,108016.0
2024-11-03,63510.0
2024-11-04,92050.0
2024-11-05,113761.0
2024-11-06,114751.0
2024-11-07,108475.0
2024-11-08,107826.0
2024-11-09,96457.0
2024-11-10,101157.0
2024-11-11,85480.0
2024-11-12,115981.0
2024-11-13,112429.0
2024-11-14,108796.0
2024-11-15,88280.0
2024-11-16,109459.0
2024-11-17,94349.0
2024-11-18,87382.0
2024-11-19,84511.0
2024-11-20,99713.0
2024-11-21,100402.0
2024-11-22,96545.0
2024-11-23,97210.0
2024-11-24,110373.0
2024-11-25,98600.0
2024-11-26,97141.0
2024-11-27,61602.0
2024-11-28,63920.0
2024-11-29,92574.0
2024-11-30,84019.0
2024-12-01,42989.0
2024-12-02,103867.0
2024-12-03,87081.0
2024-12-04,115479.0
2024-12-05,101875.0
2024-12-06,66430.0
2024-12-07,101317.0
2024-12-08,109092.0
2024-12-09,96358.0
2024-12-10,89710.0
2024-12-11,99892.0
2024-12-12,68275.0
2024-12-13,75808.0
2024-12-14,101197.0
2024-12-15,83344.0
2024-12-16,65328.0
2024-12-17,98546.0
2024-12-18,94205.0
2024-12-19,94564.0
2024-12-20,85118.0
2024-12-21,94981.0
2024-12-22,31412.0
2024-12-23,102109.0
2024-12-24,103522.0
2024-12-25,45225.0
2024-12-26,88310.0
2024-12-27,108727.0
2024-12-28,112206.0
2024-12-29,111549.0
2024-12-30,89052.0
2024-12-31,58820.0
2025-01-01,54648.0
2025-01-02,50222.0
2025-01-03,52537.0
2025-01-04,81722.0
2025-01-05,112766.0
2025-01-06,116449.0
2025-01-07,111291.0
2025-01-08,94727.0
2025-01-09,97185.0
2025-01-10,105475.0
2025-01-11,109278.0
2025-01-12,110956.0
2025-01-13,68931.0
2025-01-14,73423.0
2025-01-15,102886.0
2025-01-16,117124.0
2025-01-17,101862.0
2025-01-18,118249.0
2025-01-19,76288.0
2025-01-20,75889.0
2025-01-21,103762.0
2025-01-22,83099.0
2025-01-23,51187.0
2025-01-24,84057.0
2025-01-25,123342.0
2025-01-26,61974.0
2025-01-27,122523.0
2025-01-28,72259.0
2025-01-29,63710.0
2025-01-30,100575.0
2025-01-31,110525.0
2025-02-01,117302.0
2025-02-02,129296.0
2025-02-03,118446.0
2025-02-04,120214.0
2025-02-05,109860.0
2025-02-06,75427.0
2025-02-07,104039.0
2025-02-08,100899.0
2025-02-09,69059.0
2025-02-10,92574.0
2025-02-11,88869.0
2025-02-12,96335.0
2025-02-13,123781.0
2025-02-14,111001.0
2025-02-15,115949.0
2025-02-16,119391.0
2025-02-17,110945.0
2025-02-18,87454.0
2025-02-19,79250.0
2025-02-20,69276.0
2025-02-21,89391.0
2025-02-22,89668.0
2025-02-23,113596.0
2025-02-24,114385.0
2025-02-25,106907.0
2025-02-26,77027.0
2025-02-27,98864.0
2025-02-28,115238.0
2025-03-01,89232.0
2025-03-02,111758.0
2025-03-03,112358.0
2025-03-04,90305.0
2025-03-05,107285.0
2025-03-06,84968.0
2025-03-07,62907.0
2025-03-08,76489.0
2025-03-09,101096.0
2025-03-10,109700.0
2025-03-11,69301.0
2025-03-12,108007.0
2025-03-13,81397.0
2025-03-14,97224.0
2025-03-15,66105.0
2025-03-16,67424.0
2025-03-17,78447.0
2025-03-18,101081.0
2025-03-19,92558.0
2025-03-20,59380.0
2025-03-21,99315.0
2025-03-22,74549.0
2025-03-23,89607.0
2025-03-24,83495.0
2025-03-25,81455.0
2025-03-26,95516.0
2025-03-27,93001.0
2025-03-28,85683.0
2025-03-29,56225.0
2025-03-30,10011.0
2025-03-31,2583.0
